PLOTID,LAT,LON
658,0.2735760603224201,36.28448615876743
659,0.5477647076996017,36.4085109070322
660,0.8226093422657326,36.53198873055552
661,1.0981470214418803,36.65486719846416
662,1.374416465273148,36.77709013794126
663,1.6514583136405316,36.898597373649956
664,1.9293151872010168,37.01932448744893
665,2.208031779949013,37.13920217874565
666,2.4876549905053267,37.258156315446115
667,2.7682340314105733,37.376107240105746
668,3.0498205935636675,37.49296947817407
669,3.3324689836908816,37.608651294976966
670,3.6162362280928226,37.72305405543688
673,-1.550325949597401,35.50526621186744
674,-1.27652737682951,35.63557083649418
675,-1.002828422907051,35.765970672461016
676,-0.7292221177604027,35.89648153186541
677,-0.4557017399121411,36.02711864864443
678,-0.1822608876852098,36.15789682080015
679,0.09115975243952781,36.28667949257125
680,0.36502087566479674,36.41089224128287
681,0.6395183914395338,36.53458421674962
682,0.9146883679963944,36.65770506149175
683,1.1905685905488164,36.78020073103155
684,1.467198541645953,36.90201333987512
685,1.7446197130554684,37.023080752972916
686,2.02287561627807,37.143336560087555
687,2.302011781419724,37.262709328852345
688,2.5820761214351746,37.38112261825009
689,2.863118901738155,37.49849428244944
690,3.145192865347961,37.614736170525035
691,3.42835340365991,37.72975365783929
692,3.704485349399538,37.854784265581294
693,-1.7335139493906127,35.50319511111199
694,-1.4595443605705232,35.633515423329634
695,-1.185681679914902,35.76391878961751
696,-0.91191877267792,35.894421410601744
697,-0.6382484833730062,36.02503894581342
698,-0.36466427187410727,36.15578673725005
699,-0.09115975243953157,36.28667949257125
700,0.18243720862119525,36.41321791653356
701,0.45659832985393617,36.537109864557976
702,0.7314118928175387,36.66045776308601
703,1.0069146431192508,36.783209612990625
704,1.2831452056573813,36.90530972950199
705,1.5601437814455128,37.02669833008589
706,1.8379527550234724,37.147311494000355
707,2.1166164934273044,37.26708062668737
708,2.3961815131653452,37.38593213948512
709,2.676696669924995,37.50378721142018
710,2.958213284188942,37.62056109168474
711,3.240785163514002,37.736162934536395
712,3.5244688814124063,37.85049510744714
715,-1.6427432579237784,35.63137193001452
716,-1.3687100813624296,35.761788753133025
717,-1.0947838111307227,35.89229265059846
718,-0.8209573421262787,36.02289980503405
719,-0.5472236050887855,36.1536259033085
720,-0.2735760603224219,36.28448615876743
721,2.223610422777786e-15,36.41499419312741
722,0.2738433635245221,36.53957357467495
723,0.5483114581271884,36.66313382398616
724,0.8234483023458057,36.78612600778651
725,1.0992914890374268,36.90849645623239
726,1.3758802252575018,37.03018788769002
727,1.653255696780925,37.15113857869394
728,1.9314611270441742,37.27128262309234
729,2.2105417671118586,37.39054934685447
730,2.490545041241253,37.50886283932976
731,2.7715208765587995,37.62614179875532
732,3.0535216080530567,37.742298898343506
733,3.336602159522214,37.85724045196268
734,3.6126421886357556,37.982206965865934
735,-1.8261304996996315,35.629131312595604
736,-1.5519196403039974,35.75957203314543
737,-1.2778233020856953,35.89008714529399
738,-1.0038339784949175,36.02069339993624
739,-0.7299444023771957,36.15140687430635
740,-0.4561476815597366,36.28224334168932
741,-0.1824372086211922,36.413217916533554
742,0.09124797505272982,36.54198300817675
743,0.3653812011349048,36.66574137485882
744,0.6401633202725533,36.78895862781464
745,0.9156309171699468,36.911583162698456
746,1.1918221609265562,37.03355962464259
747,1.4687771989063552,37.15482881400684
748,1.7465380346344657,37.27532728886607
749,2.0251486772495437,37.394987002615224
750,2.3046553396427876,37.51373510382371
751,2.585106480342852,37.63149335098331
752,2.8665529821374394,37.74817789291623
753,3.14904825778748,37.86369870494884
754,3.4326484815106606,37.97795917307886
757,-1.7353167375352898,35.757259666057806
758,-1.4610432727190286,35.88779635849843
759,-1.1868842776813369,36.01841152827567
760,-0.9128323101445437,36.149121938697405
761,-0.6388801361123861,36.27994359276541
762,-0.3650208532794061,36.410892233675575
763,-0.09124797505272879,36.54198300817675
764,0.18261540241901272,36.66828837396363
765,0.45705365809040804,36.79171609620549
766,0.7321570791203815,36.91457884073682
767,1.007962918797438,37.03682340636349
768,1.284510159335142,37.15839284105827
769,1.5618396753134203,37.27922603173418
770,1.8399944259098298,37.39925754462332
771,2.1190192185431806,37.51841730636814
772,2.398961242660349,37.636630149002585
773,2.6798699835379747,37.7538154592677
774,2.961797376323129,37.869886754961286
775,3.244797921419027,37.98475125259624
776,3.5207460336686403,38.109652575514
777,-1.9189078868632412,35.75484243059583
778,-1.644449997174197,35.8854114453447
779,-1.370114372344274,36.01604586890202
780,-1.0958931952827973,36.1467629554032
781,-0.8217790194037528,36.27757926431876
782,-0.5477646856477166,36.40851091491768
783,-0.27384336352451855,36.539573574674954
784,1.7749463120463853e-15,36.670233585200585
785,0.2741134892625568,36.794406436086554
786,0.5488638992774318,36.91749232374187
787,0.8242959216159859,37.03998871597248
788,1.1004476563358816,37.16184080680288
789,1.3773588840530422,37.282989777378575
790,1.6550712405525585,37.40337275684536
791,1.9336285791942305,37.522922267597565
792,2.213076641183884,37.641566013424494
793,2.493463589607269,37.759226553379754
794,2.7748398856117538,37.8758207670707
795,3.057258523680708,37.99125953988112
796,3.340775153039451,38.105447158974165
797,3.581221933202194,38.27953675220133
798,-1.8280499482618406,35.88292317970379
799,-1.5535303799793292,36.01358757630551
800,-1.2791330933272567,36.14432156112566
801,-1.004850216355733,36.275142292020284
802,-0.7306743252854991,36.40606637493691
803,-0.4565983242983533,36.537109864259506
804,-0.18261540241900792,36.66828837396363
805,0.09133714148239283,36.79703757322193
806,0.3657452571831481,36.92033199894861
807,0.6408149034405694,37.04306461818312
808,0.916583062793863,37.16518248533921
809,1.1930884992503625,37.28662917263047
810,1.470371804728405,37.40734403914185
811,1.7484755819241902,37.52726221267464
812,2.027444370426345,37.64631419367163
813,2.307324971708363,37.76442545152583
814,2.5881665388396655,37.88151619821185
815,2.8700204516622185,37.9975006714719
816,3.152940950587521,38.11228705366996
817,3.4287971495240055,38.23712212011958
819,-2.0118497961599724,35.88032194373731
820,-1.7371388242031165,36.01102744458419
821,-1.4625581507007617,36.141789040822644
822,-1.1880996423425745,36.272624383433154
823,-0.9137555481667812,36.403550553053016
824,-0.6395183914395305,36.534584216749614
825,-0.36538120113490025,36.665741374858825
826,-0.09133714148239445,36.79703757322193
827,0.1827954560253438,36.92310605557346
828,0.45751369194774844,37.046059738194536
829,0.7329099062507357,37.16842732895255
830,1.0090217963356385,37.290154238299436
